Intersection Name,SectionID,ExternalID,Category,Length,Saturation velocity,Movements
West,828,100001,Advanced,5.9,30,"Left,Through,Right"
West,828,100002,Advanced,5.9,30,"Left,Through,Right"
West,828,100003,Stopbar,22.4,25,Right
West,828,100004,Stopbar,22.4,25,Through
West,828,100005,Stopbar,38.2,20,Left
West,825,100006,Advanced,5.9,30,"Left,Through,Right"
West,825,100007,Advanced,5.9,30,"Left,Through,Right"
West,825,100010,Stopbar,22.4,25,"Through,Right"
West,825,100009,Stopbar,22.4,25,Through
West,825,100008,Stopbar,38.2,20,Left
East,826,200011,Advanced,5.9,30,"Left,Through,Right"
East,826,200012,Advanced,5.9,30,"Left,Through,Right"
East,826,200013,Stopbar,22.4,25,Right
East,826,200014,Stopbar,22.4,25,Through
East,826,200015,Stopbar,22.4,25,Through
East,826,200016,Stopbar,38.2,20,Left
East,818,200017,Advanced,22.4,30,"Left,Through,Right"
East,818,200018,Advanced,22.4,30,"Left,Through,Right"
East,818,200019,Stopbar,22.4,25,"Through,Right"
East,818,200020,Stopbar,38.2,25,"Through,Left"
